type,price,beds,bath,propertysqft,state,administrative_area_level_2,locality,sublocality,street_name,latitude,longitude,dist_to_center_km,geo_cluster,density_listings_per_km2
Co-op for sale,245000,3,1.0,260.0,"Ny, NY 10017",New York,New York County,New York,Manhattan,40.748134,-73.9708805,4.918732296727673,0,34.16062624602838
Condo for sale,2295000,2,2.0,1242.0,"New York, NY 10013",New York,New York County,New York,Manhattan,40.7241501,-74.0080814,1.274207378967604,12,10.671987061656782
Co-op for sale,278000,1,1.0,2184.207862,"Kew Gardens, NY 11415",New York,Queens County,The Bronx,Kew Gardens,40.7119297,-73.826361,15.141208147106344,10,7.469268766553473
House for sale,998888,4,3.0,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,Queens,40.682563,-73.799077,17.765437566459315,10,7.465905622711042
House for sale,669000,3,2.0,1312.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6013797,-74.1380964,16.66323333188955,13,4.261121150332328
Multi-family home for sale,900000,5,3.0,2487.0,"Bronx, NY 10453",United States,New York,Bronx County,The Bronx,40.8533225,-73.9171752,17.322923587832868,9,3.207870325775277
Condo for sale,925000,2,2.0,1033.0,"New York, NY 10029",New York,New York County,New York,Manhattan,40.7958546,-73.9464985,10.507593532969354,14,10.683231448439011
Townhouse for sale,1499000,6,4.0,2184.207862,"Brooklyn, NY 11221",United States,New York,Kings County,Brooklyn,40.6878701,-73.9272448,7.194581217493251,8,7.465905622711042
Multi-family home for sale,1149000,2,2.0,1472.0,"Brooklyn, NY 11223",United States,New York,Kings County,Brooklyn,40.6078291,-73.9755535,11.951442374610357,15,11.718083163413901
Pending,529900,1,1.0,630.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,Downtown Brooklyn,40.6985714,-73.9881911,2.1809930109277524,12,8.533744121873958
Co-op for sale,293900,1,1.0,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7512505,-73.8814433,11.332640496797886,18,30.96272357735272
Condo for sale,1225000,2,2.0,882.0,"Brooklyn, NY 11216",New York,Kings County,Brooklyn,Bedford-Stuyvesant,40.6826476,-73.9434923,6.245818754553623,8,5.332789730507887
Co-op for sale,275000,1,1.0,880.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,Kensington,40.6329634,-73.9709274,9.357231065809389,5,6.394552843101725
Co-op for sale,225000,1,1.0,2184.207862,"Bayside, NY 11361",New York,Queens County,Queens,Bayside,40.7667099,-73.78272,19.74346623081172,7,8.542726058889793
Condo for sale,374900,1,1.0,782.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8778771,-73.9188767,19.766689960881855,9,17.113809275754143
Co-op for sale,1595000,2,2.0,2184.207862,"Manhattan, NY 10025",New York,New York County,New York,Manhattan,40.7942107,-73.9761618,9.394902343830177,0,16.024847172658518
Multi-family home for sale,999999,3,2.0,2184.207862,"Elmhurst, NY 11373",United States,New York,Queens County,Queens,40.7392278,-73.8677036,12.018735028317716,6,14.943027369290393
Multi-family home for sale,699000,3,2.3738608579684373,2034.0,"Bronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8665092,-73.8574012,21.18087081089142,3,5.347257767445488
Pending,675000,3,0.0,2780.0,"Manhattan, NY 10007",New York,New York County,New York,Manhattan,40.7143933,-74.0088774,0.30033812351891703,12,4.268153580882268
Co-op for sale,400000,2,2.0,1150.0,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8131429,-73.808397,20.036462470231488,7,5.343225707594775
House for sale,1100000,3,2.3738608579684373,2184.207862,"Brooklyn, NY 11210",United States,New York,Kings County,Brooklyn,40.6143817,-73.9525027,11.837405003369456,15,8.523517711282084
Townhouse for sale,795000,5,2.0,2184.207862,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6678086,-73.8739629,12.204905768618149,1,6.397428295934623
Co-op for sale,275000,1,1.0,694.0,"Briarwood, NY 11435",New York,Queens County,Queens,Jamaica,40.7102499,-73.81917,15.749744564199732,10,7.469268766543969
Condo for sale,329000,1,2.0,794.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6210398,-74.1504313,15.89028452188441,13,8.524793763422787
Townhouse for sale,950000,5,3.0,2288.0,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6626245,-73.8680207,12.902561404289619,1,6.397428295934623
Condo for sale,748000,2,2.0,713.0,"Flushing, NY 11355",New York,Queens County,Queens,Flushing,40.7576255,-73.8231097,16.195712148413715,7,16.01520185037523
Condo for sale,850000,2,2.0,1005.0,"Manhattan, NY 10040",New York,New York County,New York,Manhattan,40.856444,-73.9377616,16.974352874077354,14,13.900771411675182
Condo for sale,650000,3,1.0,550.0,"New York, NY 10025",New York,New York County,New York,Manhattan,40.7935585,-73.9656011,9.60309614331095,0,21.366462896878023
House for sale,868000,3,2.0,2184.207862,"Middle Village, NY 11379",United States,New York,Queens County,Queens,40.7158631,-73.8843791,10.25619032405318,6,6.402230371323403
Condo for sale,568000,2,1.0,550.0,"Brooklyn, NY 11204",New York,Kings County,Brooklyn,Bensonhurst,40.6141211,-73.9966616,11.000843083020282,19,8.523517711292923
Townhouse for sale,1895000,5,4.0,2400.0,"Brooklyn, NY 11231",New York,Kings County,Brooklyn,Red Hook,40.6785459,-74.0112783,3.834793700504465,5,3.199193872438897
Co-op for sale,235000,1,1.0,2184.207862,"Flushing, NY 11367",New York,Queens County,Queens,Flushing,40.7315119,-73.8286528,15.089673023991077,6,8.538872782451653
Co-op for sale,179000,1,1.0,600.0,"Brooklyn, NY 11210",New York,Kings County,Brooklyn,Little Haiti,40.6387293,-73.9490472,9.534388375210202,11,6.394552843101725
House for sale,345000,3,2.3738608579684373,2184.207862,"Queens, NY 11412",United States,New York,Queens County,Queens,40.701334,-73.772164,19.75165857371804,10,2.13375632985407
Co-op for sale,165000,1,1.0,750.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.904655,-73.9066105,22.91468518685096,9,17.12157035209475
Co-op for sale,192500,1,1.0,2184.207862,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.878087,-73.9170513,19.845825201782006,9,17.113809275754143
Co-op for sale,599000,2,1.0,1100.0,"Manhattan, NY 10016",New York,New York County,New York,Manhattan,40.7487581,-73.9782786,4.630673509069843,0,34.16062624602838
Co-op for sale,839000,3,2.0,1120.0,"Manhattan, NY 10033",New York,New York County,New York,Manhattan,40.8501059,-73.9387857,16.28285489195798,14,13.900771411675182
Multi-family home for sale,1088888,4,2.0,2184.207862,"Bayside, NY 11360",United States,New York,Queens County,Queens,40.7860789,-73.7928524,19.717554013179047,7,4.272649072238805
Co-op for sale,225000,1,1.0,900.0,"Bronx, NY 10467",New York,Bronx County,The Bronx,Allerton,40.8574263,-73.8708848,19.69846880307872,3,1.069290108591759
Townhouse for sale,998000,6,2.3738608579684373,2236.0,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6623484,-73.8914648,11.168412977605119,1,5.331190246612186
Co-op for sale,225000,1,1.0,2184.207862,"Whitestone, NY 11357",New York,Queens County,Queens,Whitestone,40.7864852,-73.8017612,19.05603114378487,7,7.4771358764179086
House for sale,549000,3,1.0,1400.0,"Staten Island, NY 10310",United States,New York,Richmond County,Staten Island,40.6368544,-74.1124571,12.325391968623924,13,2.1315176143672416
House for sale,1190000,3,2.0,1360.0,"Brooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6214197,-74.0328467,10.410276231926,19,10.655992204278485
House for sale,409000,4,2.0,2184.207862,"Flushing, NY 11367",United States,New York,Queens County,Queens,40.726173,-73.8202303,15.726410771600404,10,7.470390943169251
Pending,1488000,2,2.0,1464.0,"Brooklyn, NY 11228",United States,New York,Kings County,Brooklyn,40.6171732,-74.0169489,10.673256286927831,19,4.261758855646462
House for sale,465000,2,2.0,988.0,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8285177,-73.8155198,20.5637051164118,3,7.481643830504738
Condo for sale,450000,1,1.0,724.0,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,Homecrest,40.610069,-73.9537478,12.243965753803506,15,8.523517711282084
Co-op for sale,449000,1,2.0,1074.0,"Floral Park, NY 11005",New York,Queens County,Queens,Queens Village,40.7564761,-73.7212008,24.48282534234106,4,10.676801233583486
Multi-family home for sale,950000,6,3.0,2184.207862,"Brooklyn, NY 11236",United States,New York,Kings County,Brooklyn,40.6489264,-73.9197127,10.167952807328556,11,3.1977554226599025
Multi-family home for sale,1499000,6,2.0,3144.0,"Brooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.629498,-74.02725,9.434554544634171,19,8.524793763433633
Co-op for sale,299000,1,1.0,2184.207862,"New York, NY 10018",New York,New York County,New York,Manhattan,40.7538054,-73.9935323,4.679050657549714,12,2.135360246716697
House for sale,750000,3,2.3738608579684373,1922.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.5905967,-74.1527255,18.3809818422722,17,3.1953628241957315
House for sale,765000,3,2.3738608579684373,2500.0,"Bronx, NY 10460",United States,New York,Bronx County,The Bronx,40.8365023,-73.8919613,16.775444514342304,3,2.1379349252896747
Co-op for sale,229000,1,1.0,2184.207862,"Brooklyn, NY 11235",New York,Kings County,Brooklyn,Sheepshead Bay,40.5874249,-73.9487987,14.752684679112718,15,11.714578428474072
Multi-family home for sale,365000,4,3.0,1600.0,"Staten Island, NY 10301",United States,New York,Richmond County,Staten Island,40.6352888,-74.090616,11.189590782310045,2,3.1972764215508627
Condo for sale,555000,1,1.0,649.0,"Fresh Meadows, NY 11366",New York,Queens County,Queens,Flushing,40.7206509,-73.808539,16.664819196769166,10,6.403192237002216
House for sale,395000,3,1.0,430.0,"New York, NY 10005",New York,New York County,New York,Manhattan,40.7068323,-74.0083798,0.6932337820875948,12,13.86941614403381
Pending,540000,2,2.0,823.0,"Kew Gardens, NY 11415",New York,Queens County,Queens,Jamaica,40.7059564,-73.8319922,14.686658188702761,10,11.735659814182455
Condo for sale,1695000,3,2.0,1827.0,"Brooklyn, NY 11238",New York,Kings County,Brooklyn,Crown Heights,40.6745841,-73.9623868,5.619405898793454,5,7.464785702357426
Co-op for sale,749000,2,1.0,2184.207862,"Manhattan, NY 10017",New York,New York County,New York,Manhattan,40.7488879,-73.9723947,4.911286338576826,0,34.16062624602838
Co-op for sale,229000,1,1.0,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7562792,-73.8758052,11.987963947384184,18,14.947521727016882
Co-op for sale,585000,3,1.0,1050.0,"Jackson Heights, NY 11372",United States,New York,Queens County,Queens,40.7512505,-73.8814433,11.332640496797886,18,30.96272357735272
Multi-family home for sale,650000,6,2.3738608579684373,2184.207862,"Bronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8719262,-73.8423808,22.42330183202033,3,1.069613079734634
Co-op for sale,525000,3,1.0,2184.207862,"New York, NY 10023",New York,New York County,New York,Manhattan,40.7774246,-73.98562,7.388193072983182,0,25.632035333904224
Co-op for sale,299000,1,1.0,700.0,"East Elmhurst, NY 11369",New York,Queens County,Queens,East Elmhurst,40.7585599,-73.87738,11.972059693506205,18,14.947521727016882
Condo for sale,2795000,2,2.0,1372.0,"New York, NY 10023",New York County,New York,Manhattan,West 64th Street,40.7716812,-73.9815796,6.862932036128123,0,25.632035333904224
Multi-family home for sale,949000,5,3.0,2184.207862,"Brooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6290233,-73.9330774,11.162594905557606,11,5.327996102139243
Co-op for sale,865000,1,1.0,2184.207862,"Manhattan, NY 10016",New York,New York County,New York,Manhattan,40.743373,-73.983626,3.8873647055644196,12,12.810234842244345
House for sale,580000,6,3.0,2940.0,"Brooklyn, NY 11212",United States,New York,Kings County,Brooklyn,40.6609696,-73.9111929,9.85483097271783,11,4.264952197289749
Condo for sale,749999,3,3.0,1602.0,"Brooklyn, NY 11234",New York,Kings County,Brooklyn,Bergen Beach,40.625366,-73.908929,12.710155179687264,11,7.459194542994939
Co-op for sale,699000,1,1.0,700.0,"New York, NY 10023",New York,New York County,New York,Manhattan,40.776434,-73.9771489,7.481597478051291,0,9.612013250226312
House for sale,774900,3,2.0,1335.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.6058796,-74.0681791,12.994548600390026,2,1.065280287583082
Co-op for sale,940000,2,1.0,2184.207862,"Manhattan, NY 10021",New York,New York County,New York,Manhattan,40.7689684,-73.9543121,7.613879864467055,0,19.221133632502035
Multi-family home for sale,1139000,3,3.0,2520.0,"Brooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.5994335,-73.9458671,13.588129462586414,15,5.325604706999661
Condo for sale,528000,2,1.0,753.0,"Flushing, NY 11367",United States,New York,Queens County,Queens,40.7267616,-73.8294609,14.95874348516728,6,7.470390943169251
Co-op for sale,595000,1,2.0,2184.207862,"New York, NY 10022",New York,New York County,New York,Manhattan,40.761641,-73.9702246,6.211272156089025,0,21.35681514725165
House for sale,1248000,4,2.0,2450.0,"Brooklyn, NY 11229",11229,United States,New York,Kings County,40.6056129,-73.9396751,13.166439883491464,15,3.19584086274518
Co-op for sale,230000,1,1.0,2184.207862,"Jackson Heights, NY 11372",United States,New York,Queens County,Queens,40.7557689,-73.8734231,12.149508491183653,18,14.947521727016882
Co-op for sale,189000,1,1.0,2184.207862,"Jamaica, NY 11432",New York,Queens County,Queens,Jamaica,40.7055595,-73.8012395,17.27786099678909,10,2.13375632985407
House for sale,849990,5,3.0,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,Queens,40.6841541,-73.7978894,17.83109860917294,10,7.465905622711042
Pending,360000,1,1.0,2184.207862,"Manhattan, NY 10075",New York,New York County,New York,Manhattan,40.7711911,-73.9516646,7.944254118430655,0,24.564033861658213
Co-op for sale,325000,2,1.0,2184.207862,"New Hyde Park, NY 11040",New York,Queens County,Queens,Floral Park,40.7427699,-73.70245,25.79499221337856,4,3.2025587105651603
Multi-family home for sale,1075000,7,3.0,2000.0,"Brooklyn, NY 11220",United States,New York,Kings County,Brooklyn,40.6489509,-74.014767,7.138091705805021,19,4.26367389687987
Condo for sale,700000,3,2.0,1245.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Riverdale,40.8861342,-73.90767,20.975954122621832,9,14.976845623184369
Multi-family home for sale,928000,3,4.0,1640.0,"Brooklyn, NY 11232",United States,New York,Kings County,Brooklyn,40.6527672,-74.0120752,6.694979592585139,19,2.1321564431681237
House for sale,590000,3,1.0,1360.0,"Bronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8642583,-73.8414813,21.80532851272725,3,6.416709320942748
House for sale,686000,3,2.0,2184.207862,"Jamaica, NY 11436",United States,New York,Queens County,Queens,40.6808451,-73.7952952,18.11531875307801,10,7.465905622711042
Townhouse for sale,939000,3,2.0,1728.0,"Middle Village, NY 11379",United States,New York,Queens County,Queens,40.7223997,-73.8818876,10.51433463800019,6,4.268794824662713
Multi-family home for sale,1200000,7,4.0,3240.0,"Bronx, NY 10461",United States,New York,Bronx County,The Bronx,40.853352,-73.831719,21.437648041125364,3,6.415740651542392
Co-op for sale,2500000,3,2.0,3200.0,"Manhattan, NY 10001",New York,New York County,New York,Manhattan,40.7468872,-73.9910651,3.993784501732965,12,12.810234842260641
Pending,395000,3,2.3738608579684373,381.0,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,Dumbo,40.7028922,-73.9860614,2.0095516101078172,12,8.535025319405422
House for sale,350000,3,2.3738608579684373,1520.0,"Brooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.6758271,-73.8828978,11.16312020091349,1,3.199193872434827
Condo for sale,355000,1,1.0,514.0,"Brooklyn, NY 11225",New York,Kings County,Brooklyn,Crown Heights,40.6660348,-73.9612418,6.425093430947296,5,1.0662380493224373
Pending,1500000,3,2.0,2184.207862,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,40.6955436,-73.9936975,2.181137331742795,12,9.600462137120417
Condo for sale,315000,2,2.0,1400.0,"New York, NY 10022",New York County,New York,Manhattan,East 55th Street,40.761255,-73.9744834,6.0067646340066485,0,21.35681514725165
Condo for sale,435000,3,2.0,1034.0,"Bronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8690609,-73.835715,22.525841349165727,3,2.1389031069781956
Pending,249000,2,1.0,900.0,"Bronx, NY 10463",United States,New York,Bronx County,The Bronx,40.8808392,-73.9191025,20.065926034027978,9,25.67459249692015
Co-op for sale,350000,2,1.0,825.0,"Brooklyn, NY 11211",New York,Kings County,Brooklyn,Williamsburg,40.711175,-73.957086,4.12670532705778,8,3.2011151856617013
Pending,2100000,3,2.0,1902.0,"Brooklyn, NY 11211",United States,New York,Kings County,Brooklyn,40.7118832,-73.947991,4.890362023290263,8,6.402230371331548
House for sale,160000,3,2.3738608579684373,1064.0,"Jamaica, NY 11436",United States,New York,Queens County,Queens,40.6845061,-73.7950299,18.061430643115024,10,7.465905622711042
House for sale,558000,3,2.0,1108.0,"Staten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5463363,-74.1420026,21.779458829746837,17,5.3216270552892375
Multi-family home for sale,869000,6,3.0,1526.0,"Bronx, NY 10461",United States,New York,Bronx County,The Bronx,40.8505252,-73.856443,19.82664046942064,3,5.3464505429519935
Multi-family home for sale,1199000,3,1.0,2726.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5837427,-74.0909372,16.04016780027829,2,5.324808376579123
Co-op for sale,429000,2,2.0,1450.0,"Bronx, NY 10463",Bronx County,The Bronx,Riverdale,Henry Hudson Parkway,40.8868607,-73.9129726,20.878722356510444,9,25.67459249692015
Condo for sale,250000,3,1.0,2184.207862,"Brooklyn, NY 11207",New York,Kings County,Brooklyn,East New York,40.6576494,-73.8782466,12.39537881369009,1,3.1982346647521855
Condo for sale,349000,3,1.0,500.0,"Bayside, NY 11360",New York,Queens County,Queens,Bayside,40.778411,-73.781048,20.306470520767824,7,5.340007361230047
House for sale,850000,4,2.0,2184.207862,"Fresh Meadows, NY 11365",United States,New York,Queens County,Queens,40.7485831,-73.8010787,17.719571073224362,7,2.1350391403767737
Co-op for sale,1250000,2,3.0,2184.207862,"New York, NY 10010",New York,New York County,New York,Manhattan,40.7374872,-73.9833473,3.3435793160747886,12,23.481900151712175
Co-op for sale,90000,1,1.0,450.0,"Bronx, NY 10452",New York,Bronx County,The Bronx,Highbridge,40.8423705,-73.9234444,15.996898872522985,14,2.1382574899837374
Multi-family home for sale,1350000,3,5.0,3210.0,"Woodside, NY 11377",United States,New York,Queens County,Queens,40.7432038,-73.9105824,8.72224095349239,18,6.405117421130321
House for sale,789000,5,3.0,1273.0,"Queens Village, NY 11429",United States,New York,Queens County,Queens,40.7084501,-73.7316272,23.13120732697801,4,1.0668781649256778
Co-op for sale,325000,2,1.0,750.0,"New York, NY 10029",New York,New York County,New York,Manhattan,40.78987,-73.9483335,9.850769869473478,0,10.681622680597012
Condo for sale,350000,3,2.0,2184.207862,"Bronx, NY 10455",New York,Bronx County,The Bronx,Woodstock,40.8203804,-73.9109368,14.394216096797745,14,6.41283756901222
Foreclosure,605000,4,2.0,1344.0,"Staten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5909939,-74.0662942,14.467862658308682,2,6.390725648399593
House for sale,950000,3,2.0,1520.0,"Queens, NY 11375",United States,New York,Queens County,Queens,40.7157274,-73.8563447,12.617558915095653,6,6.402230371323403
Pending,1075000,2,2.0,955.0,"New York, NY 10026",New York,New York County,New York,Manhattan,40.8061576,-73.9550949,11.231469551492197,14,7.47938871852929
Co-op for sale,1500000,2,2.0,1600.0,"New York, NY 10023",New York,New York County,New York,Manhattan,40.7739157,-73.9799267,7.141942164999414,0,9.612013250226312
House for sale,499000,2,2.0,1350.0,"Bronx, NY 10470",United States,New York,Bronx County,The Bronx,40.8978428,-73.8633611,23.822220019221813,9,8.559491011570245
House for sale,499000,2,3.0,2184.207862,"Saint Albans, NY 11412",United States,New York,Queens County,Queens,40.6886004,-73.7568067,21.178610238300788,4,3.1996738383047325
Condo for sale,1000000,1,1.0,773.0,"New York, NY 10036",New York,New York County,New York,Manhattan,40.7574596,-73.9793586,5.449692312058959,0,5.338400616791743
Co-op for sale,245000,3,1.0,713.0,"Forest Hills, NY 11375",United States,New York,Queens County,Queens,40.7379227,-73.8470718,13.68091380159622,6,13.875668271483937
House for sale,1199000,4,1.0,1840.0,"Brooklyn, NY 11228",United States,New York,Kings County,Brooklyn,40.6165131,-74.0045846,10.707295128821798,19,6.3926382834615625
House for sale,1499000,3,2.0,2100.0,"Brooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.6063993,-73.9485994,12.783645851710016,15,7.456962013081574
Condo for sale,999000,2,2.0,1262.0,"New York, NY 10032",New York,New York County,New York,Manhattan,40.834716,-73.9481517,14.405092274704776,14,7.482772238513862
Condo for sale,725000,3,2.0,1185.0,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,40.6172572,-73.9611011,11.278669335373689,15,4.261758855646462
Condo for sale,1095000,2,2.0,1200.0,"New York, NY 10005",New York,New York County,New York,Manhattan,40.7069308,-74.0085978,0.6883794252891746,12,13.86941614403381
Co-op for sale,595000,1,1.0,700.0,"Manhattan, NY 10022",New York,New York County,New York,Manhattan,40.754338,-73.964711,5.782433830853762,0,30.96272357739211
Co-op for sale,349000,2,1.0,2184.207862,"Kew Gardens, NY 11415",New York,Queens County,Queens,Jamaica,40.7052273,-73.8336358,14.552854050689485,10,11.735659814182455
Pending,625000,1,1.0,2184.207862,"New York, NY 10014",New York,New York County,New York,Manhattan,40.7362044,-74.0047875,2.60445919396213,12,23.481900151712175
Townhouse for sale,1999000,4,2.0,2487.0,"Brooklyn, NY 11218",United States,New York,Kings County,Brooklyn,40.6353046,-73.9698484,9.140551887025813,5,4.263035228734483
Co-op for sale,449000,3,1.0,2184.207862,"Manhattan, NY 10022",New York,New York County,New York,Manhattan,40.7568629,-73.9621341,6.137283551390853,0,30.96272357739211
Co-op for sale,289000,3,1.0,2184.207862,"Brooklyn, NY 11218",New York,Kings County,Brooklyn,Kensington,40.646116,-73.98134,7.701009114817419,5,3.1977554226558347
Co-op for sale,240000,2,1.0,2184.207862,"Woodhaven, NY 11421",New York,Queens County,Queens,Woodhaven,40.6987743,-73.8529203,12.997527220983915,1,4.266872060936979
House for sale,639000,3,2.0,1224.0,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.832149,-73.8265941,20.108682314563165,3,4.275869850579349
Condo for sale,1355000,3,2.0,2184.207862,"Brooklyn, NY 11215",New York,Kings County,Brooklyn,Sunset Park,40.6588717,-73.9912442,6.124276347241579,5,3.1982346647521855
Multi-family home for sale,1860000,6,4.0,2184.207862,"Whitestone, NY 11357",United States,New York,Queens County,Queens,40.7832802,-73.8149701,17.899247720511898,7,3.2044868041750276
House for sale,850000,6,4.0,2886.0,"Far Rockaway, NY 11691",United States,New York,Queens County,Queens,40.6085633,-73.7686771,23.131679522776448,16,2.1305605751634538
House for sale,1699888,3,3.0,2275.0,"Howard Beach, NY 11414",United States,New York,Queens County,Queens,40.6556445,-73.848959,14.68798500781408,1,5.33039110792031
Multi-family home for sale,1075000,5,4.0,2905.0,"Arverne, NY 11692",United States,New York,Queens County,Queens,40.5890901,-73.8022167,22.017746336963633,16,1.0649616753158246
Co-op for sale,599000,3,1.0,2184.207862,"Manhattan, NY 10017",New York,New York County,New York,Manhattan,40.7494678,-73.9717468,4.995446174978497,0,34.16062624602838
Co-op for sale,450000,2,1.0,1100.0,"Brooklyn, NY 11229",New York,Kings County,Brooklyn,Sheepshead Bay,40.595967,-73.9504018,13.811968636616195,15,5.325604706992886
Co-op for sale,349000,1,1.0,652.0,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6259955,-74.0323073,9.90396060135803,19,10.655992204278485
Condo for sale,595000,3,1.0,721.0,"Roosevelt Island, NY 10044",New York,New York County,New York,Manhattan,40.7630313,-73.9492357,7.3532514841602366,0,2.135681514725165
House for sale,995000,3,2.0,3080.0,"Bronx, NY 10461",United States,New York,Bronx County,The Bronx,40.8513854,-73.854324,20.013931651441585,3,5.3464505429519935
House for sale,699900,3,2.0,1470.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6153952,-74.1610855,16.982882763097784,13,4.261758855646462
Multi-family home for sale,1499000,5,2.0,2280.0,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6852121,-73.9131299,8.408677173300761,8,9.599021514914197
Co-op for sale,288000,1,1.0,800.0,"Brooklyn, NY 11214",New York,Kings County,Brooklyn,Bath Beach,40.6028929,-74.0093853,12.224464649072987,19,5.326401437908634
Co-op for sale,299000,1,1.0,2184.207862,"Jackson Heights, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7490984,-73.8849909,10.966219500101369,18,13.877754412431374
Multi-family home for sale,1175000,6,3.0,2184.207862,"Brooklyn, NY 11236",United States,New York,Kings County,Brooklyn,40.6356515,-73.9018458,12.277793863432654,11,6.394552843093591
Co-op for sale,975000,2,2.0,2184.207862,"Manhattan, NY 10023",New York,New York County,New York,Manhattan,40.7795544,-73.9848893,7.632832822484538,0,25.632035333904224
Co-op for sale,220000,2,1.0,850.0,"Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.9049354,-73.9060897,22.959725646382243,9,17.12157035209475
Co-op for sale,475000,3,1.0,2184.207862,"Manhattan, NY 10021",New York,New York County,New York,Manhattan,40.7662222,-73.9516342,7.501113256062516,0,19.221133632502035
Condo for sale,455000,2,1.0,939.0,"Staten Island, NY 10306",New York,Richmond County,Staten Island,Oakwood,40.5599528,-74.1198255,19.522038845709545,17,3.1934530716070566
Townhouse for sale,318888,2,2.0,1270.0,"Staten Island, NY 10303",United States,New York,Richmond County,Staten Island,40.6384591,-74.1646633,15.727863694083497,13,6.394552843101725
House for sale,798000,4,4.0,1410.0,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.607299,-74.159021,17.442045202960607,13,1.0652802875817269
Multi-family home for sale,499000,3,3.0,2184.207862,"Brooklyn, NY 11236",United States,New York,Kings County,Brooklyn,40.6370243,-73.909613,11.707647631882413,11,6.394552843093591
Co-op for sale,385000,2,2.0,1100.0,"Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8827696,-73.9148245,20.398660669444066,9,25.67459249692015
Co-op for sale,124900,1,1.0,676.0,"Bronx, NY 10467",New York,Bronx County,The Bronx,Norwood,40.880833,-73.8758596,21.659171011111173,9,2.139549374743346
Pending,1848888,6,4.0,3234.0,"Jamaica, NY 11432",United States,New York,Queens County,Queens,40.7160582,-73.7872685,18.43880237093381,10,3.2011151856617013
House for sale,600000,2,2.0,2184.207862,"Brooklyn, NY 11212",New York,Kings County,Brooklyn,Brownsville,40.6585229,-73.9047396,10.455895078219367,11,2.1321564431654116
Co-op for sale,500000,3,2.0,2184.207862,"Brooklyn, NY 11201",New York,Kings County,Brooklyn,Brooklyn Heights,40.6927721,-73.9936086,2.4598079086543376,5,9.600462137120417
Co-op for sale,385000,1,2.0,900.0,"Bayside, NY 11360",New York,Queens County,Queens,Bayside,40.7839299,-73.77643,20.89374998193207,7,13.886109484776116
Co-op for sale,575000,2,1.0,2184.207862,"Sunnyside, NY 11104",New York,Queens County,Queens,Sunnyside,40.7493599,-73.91745,8.496957147775195,18,6.405117421130321
Co-op for sale,149000,3,1.0,400.0,"New York, NY 10009",New York,New York County,New York,Manhattan,40.7276196,-73.9848906,2.424933693394096,12,5.335993530828391
Co-op for sale,175000,1,1.0,800.0,"Bronx, NY 10458",New York,Bronx County,The Bronx,West Bronx,40.8742949,-73.883753,20.697215796926002,9,3.2088392391998193
